alpha,beta,map,ndcg_cut_10,P_10,P_20,recall_10,recall_20
0.0,0.0,0.11672038971257886,0.15651436104703953,0.045200000000000046,0.03240000000000008,0.22709908424908423,0.30802765567765555
0.0,0.2,0.1406145290104619,0.18809853535586893,0.0528000000000001,0.03240000000000008,0.26278717948717945,0.30802765567765555
0.0,0.4,0.15610870735253446,0.20262487951070024,0.055000000000000104,0.03240000000000008,0.2670141636141636,0.30802765567765555
0.0,0.6000000000000001,0.1668699554403477,0.21324926235124206,0.05580000000000012,0.03240000000000008,0.27174511599511597,0.30802765567765555
0.0,0.8,0.1866013366015173,0.23075728966037465,0.05640000000000011,0.03240000000000008,0.27605860805860793,0.30802765567765555
0.0,1.0,0.18726297101481434,0.232170226485835,0.05560000000000011,0.03240000000000008,0.2763530525030525,0.30802765567765555
0.2,0.0,0.17656313200503765,0.22307758636887196,0.05800000000000013,0.03870000000000013,0.2881340048840048,0.36137534687534656
0.2,0.2,0.1975676755235078,0.24860132670344812,0.06420000000000017,0.03870000000000013,0.3105800366300363,0.36137534687534656
0.2,0.4,0.20757561974478997,0.2583336336257701,0.06460000000000019,0.03870000000000013,0.31488003663003633,0.36137534687534656
0.2,0.6000000000000001,0.21376334359928906,0.26535962218382114,0.06600000000000018,0.03870000000000013,0.3216951881451879,0.36137534687534656
0.2,0.8,0.22441557967178083,0.27587925590968126,0.06700000000000018,0.03870000000000013,0.3282396325896324,0.36137534687534656
0.2,1.0,0.21271179965879408,0.26529605944471435,0.06660000000000017,0.03870000000000013,0.32460868020868,0.36137534687534656
0.4,0.0,0.20902337756193287,0.26311897459500366,0.0670000000000002,0.04050000000000015,0.32763956043956016,0.37315446775446753
0.4,0.2,0.22437780807929317,0.27986222885311063,0.07120000000000025,0.04050000000000015,0.33934181929181917,0.37315446775446753
0.4,0.4,0.22921777459213635,0.2834582170527935,0.07080000000000025,0.04050000000000015,0.33861081696081674,0.37315446775446753
0.4,0.6000000000000001,0.23016670851684237,0.28375243586676285,0.07040000000000028,0.04050000000000015,0.3372885947385945,0.37315446775446753
0.4,0.8,0.23509539530461382,0.28842616804952803,0.07060000000000027,0.04050000000000015,0.34066081696081674,0.37315446775446753
0.4,1.0,0.21505260364757076,0.2693434335115749,0.06940000000000027,0.04050000000000015,0.33258859473859465,0.37315446775446753
0.6000000000000001,0.0,0.21636131704865733,0.270038943928337,0.07000000000000023,0.04170000000000016,0.33040220890220867,0.38197113442113423
0.6000000000000001,0.2,0.23065945509108848,0.28714135217574493,0.07320000000000026,0.04170000000000016,0.3487528804528803,0.38197113442113423
0.6000000000000001,0.4,0.23354384777488885,0.2895548844062639,0.07260000000000026,0.04170000000000016,0.3500695471195469,0.38197113442113423
0.6000000000000001,0.6000000000000001,0.23466434993029642,0.29139830574825504,0.07340000000000026,0.04170000000000016,0.35247192807192795,0.38197113442113423
0.6000000000000001,0.8,0.24024558334193297,0.295976832892633,0.07360000000000029,0.04170000000000016,0.35102748362748354,0.38197113442113423
0.6000000000000001,1.0,0.21726726093387574,0.2739938596725216,0.07180000000000028,0.04170000000000016,0.3425274836274835,0.38197113442113423
0.8,0.0,0.2214556019009111,0.2729307136244241,0.06900000000000021,0.04200000000000016,0.3281758963258962,0.38300764235764234
0.8,0.2,0.22918494451882504,0.28241630439212567,0.07140000000000025,0.04200000000000016,0.3376925629925629,0.38300764235764234
0.8,0.4,0.2357569164178983,0.2906945822561377,0.07380000000000027,0.04200000000000016,0.34597034077034067,0.38300764235764234
0.8,0.6000000000000001,0.23643494295378972,0.29159271502011597,0.07360000000000026,0.04200000000000016,0.34881954711954705,0.38300764235764234
0.8,0.8,0.23876614805043592,0.2939773616264641,0.07380000000000028,0.04200000000000016,0.3478528804528804,0.38300764235764234
0.8,1.0,0.21912769695319004,0.2745951334196159,0.07140000000000025,0.04200000000000016,0.33856716616716603,0.38300764235764234
1.0,0.0,0.21557976078203755,0.26710940608481704,0.06740000000000021,0.040800000000000156,0.3228870074370072,0.37841399156399147
1.0,0.2,0.22632874345683565,0.2801615693278511,0.07040000000000023,0.040800000000000156,0.3361870074370073,0.37841399156399147
1.0,0.4,0.23328173734136035,0.2875136100109126,0.07120000000000025,0.040800000000000156,0.34085922965922955,0.37841399156399147
1.0,0.6000000000000001,0.23997596183924033,0.2928558371500955,0.07140000000000024,0.040800000000000156,0.34325922965922945,0.37841399156399147
1.0,0.8,0.23763765375065912,0.29229463956517193,0.07200000000000027,0.040800000000000156,0.3464925629925628,0.37841399156399147
1.0,1.0,0.21935986544685018,0.27390397611545314,0.07020000000000026,0.040800000000000156,0.33645684870684855,0.37841399156399147
